50 0 49 Metal 0 180 0 0
50 0 48 Metal 0 180 0 0
50 0 47 Metal 0 180 0 0
50 0 46 Metal 0 180 0 0
49 0 46 Metal 0 180 0 0
49 0 48 Metal 0 180 0 0
49 0 47 Metal 0 180 0 0
49 0 49 Metal 0 180 0 0
48 0 49 Metal 0 270 0 0
49 0 50 Metal 0 270 0 0
48 0 50 Metal 0 270 0 0
47 0 50 Metal 0 270 0 0
46 0 49 Metal 0 270 0 0
47 0 49 Metal 0 270 0 0
47 0 48 Metal 0 270 0 0
48 0 48 Metal 0 180 0 0
48 0 47 Metal 0 180 0 0
48 0 46 Metal 0 180 0 0
47 0 47 Metal 0 180 0 0
46 0 47 Metal 0 270 0 0
45 0 47 Metal 0 270 0 0
46 0 48 Metal 0 270 0 0
45 0 48 Metal 0 270 0 0
47 0 46 Metal 0 270 0 0
46 0 46 Metal 0 270 0 0
45 0 46 Metal 0 270 0 0
44 0 46 Metal 0 270 0 0
45 0 49 Metal 0 270 0 0
45 0 50 Metal 0 0 0 0
46 0 50 Metal 0 270 0 0
44 0 50 Metal 0 270 0 0
44 0 49 Metal 0 270 0 0
44 0 48 Metal 0 270 0 0
44 0 47 Metal 0 270 0 0
44 0 45 Metal 0 270 0 0
45 0 45 Metal 0 180 0 0
45 0 44 Metal 0 180 0 0
46 0 45 Metal 0 180 0 0
44 0 44 Metal 0 180 0 0
45 0 43 Metal 0 180 0 0
44 0 43 Metal 0 180 0 0
44 0 42 Metal 0 180 0 0
45 0 42 Metal 0 180 0 0
46 0 42 Metal 0 180 0 0
47 0 44 Metal 0 90 0 0
47 0 45 Metal 0 90 0 0
48 0 45 Metal 0 90 0 0
46 0 44 Metal 0 180 0 0
46 0 43 Metal 0 180 0 0
47 0 43 Metal 0 90 0 0
48 0 44 Metal 0 90 0 0
49 0 44 Metal 0 90 0 0
49 0 45 Metal 0 90 0 0
50 0 45 Metal 0 90 0 0
51 0 46 Metal 0 90 0 0
52 0 46 Metal 0 90 0 0
52 0 45 Metal 0 90 0 0
51 0 45 Metal 0 90 0 0
52 0 47 Metal 0 90 0 0
51 0 48 Metal 0 90 0 0
52 0 48 Metal 0 90 0 0
51 0 49 Metal 0 90 0 0
51 0 50 Metal 0 90 0 0
52 0 50 Metal 0 90 0 0
53 0 50 Metal 0 90 0 0
52 0 49 Metal 0 90 0 0
53 0 49 Metal 0 90 0 0
53 0 48 Metal 0 90 0 0
51 0 47 Metal 0 90 0 0
53 0 46 Metal 0 90 0 0
53 0 45 Metal 0 90 0 0
53 0 47 Metal 0 90 0 0
51 0 44 Metal 0 180 0 0
52 0 44 Metal 0 180 0 0
53 0 44 Metal 0 180 0 0
52 0 43 Metal 0 180 0 0
52 0 42 Metal 0 180 0 0
53 0 43 Metal 0 180 0 0
53 0 42 Metal 0 180 0 0
51 0 43 Metal 0 180 0 0
51 0 42 Metal 0 180 0 0
50 0 42 Metal 0 180 0 0
50 0 43 Metal 0 180 0 0
50 0 44 Metal 0 180 0 0
49 0 43 Metal 0 180 0 0
48 0 43 Metal 0 180 0 0
48 0 42 Metal 0 180 0 0
47 0 42 Metal 0 180 0 0
49 0 42 Metal 0 180 0 0
50 1 39 Stairs 0 180 0 0
50 2 38 Stairs 0 180 0 0
51 2 38 Stairs 0 180 0 0
51 1 39 Stairs 0 180 0 0
